,1,2,NDB_No,Water_(g),Energ_Kcal,Protein_(g),Sugar_Tot_(g)
6334,MARS SNACKFOOD US,SKITTLES WILD BERRY BITE SIZE,19363,3.83,402,0.19,75.92
6339,MARS SNACKFOOD US,SKITTLES TROPICAL BITE SIZE CAND,19368,3.83,405,0.19,75.76
6340,MARS SNACKFOOD US,SKITTLES SOURS ORIGINAL,19369,3.83,401,0.18,73.16
6341,MARS SNACKFOOD US,SKITTLES ORIGINAL BITE SIZE CAND,19370,3.83,405,0.19,75.84
6345,FUDGE,CHOC MARSHMLLW,19379,7.82,453,2.26,64.06
6346,TAFFY,PREPARED-FROM-RECIPE,19382,4.85,397,0.03,68.48
6347,TOFFEE,PREPARED-FROM-RECIPE,19383,0.55,560,1.07,63.47
6348,DIVINITY,PREPARED-FROM-RECIPE,19384,9.16,364,1.32,78.96
6386,SEMISWEET CHOC,MADE W/BUTTER,19701,0.7,477,4.2,
6419,SUGAR-COATED ALMONDS,,19858,2.3,474,10.0,62.5
6422,SOFT FRUIT & NUT SQUARES,,19866,13.88,390,2.31,45.95
6446,REESE'S FAST BREAK,CANDY BAR,19896,1.66,495,8.93,53.57
6447,MARS SNACKFOOD US,COCOAVIA CHOC COVERED ALMONDS,19897,1.5,573,9.51,26.92
6453,CHOC,DK,19905,1.0,550,5.09,46.14
6458,CRISPY BAR W/ PNUT BUTTER FILLING,,19910,1.6,542,9.53,40.33
6462,M&M MARS 3 MUSKETEERS TRUFFLE CRISP,,19914,0.18,538,6.41,57.69
6464,M&M MARS PRETZEL CHOC CANDIES,,19917,4.84,447,5.0,50.0
6466,FRUIT SNACKS,W/ HI VIT C,19919,11.84,352,0.08,68.18
6468,TAMARIND,,19921,2.52,368,0.0,78.57
6469,COCNT BAR,NOT CHOC COVERED,19922,13.26,481,2.13,36.16
6470,HERSHEYS,PAYDAY BAR,19923,6.97,490,13.44,40.32
8579,MARS SNACKFOOD US,M&M'S PNUT BUTTER CHOC CANDIES,42148,2.0,529,10.16,47.15
8591,MARS SNACKFOOD US,TWIX CHOC FUDGE COOKIE BARS,42183,2.2,550,7.3,53.0
8599,MARS SNACKFOOD US,MILKY WAY MIDNIGHT BAR,42196,7.2,443,3.2,57.81
8603,MARS SNACKFOOD US,M&M'S ALMOND CHOC CANDIES,42227,2.52,522,7.53,49.22
8649,CHOC COVERED,CARAMEL W/NUTS,43031,6.1,470,9.5,41.35
8650,NOUGAT,W/ ALMONDS,43046,2.15,398,3.33,44.97
8651,GUM DROPS,NO SUGAR OR LO CAL (SORBITOL),43057,11.7,354,0.0,70.0
8652,HARD,DIETETIC OR LO CAL (SORBITOL),43058,1.4,394,0.0,0.0
8653,CHOC COVERED,LO SUGAR OR LO CAL,43059,4.0,590,12.39,14.63
